fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area,corrected_address,original_address
2014-04-10,15:10:00,2014-04-10,15:50:00,철원,갈말,0.03,강원도 철원군 갈말읍,강원도 철원 갈말
2014-04-10,13:10:00,2014-04-10,14:19:00,양구,남,0.05,강원도 양구군 국토정중앙면,강원도 양구 남
2014-04-09,14:00:00,2014-04-09,15:00:00,영월,수주,0.0,강원도 영월군 무릉도원면,강원도 영월 수주
2014-04-01,13:50:00,2014-04-01,14:50:00,횡성,서원,0.2,강원도 횡성군 서원면,강원도 횡성 서원
2014-03-27,18:29:00,2014-03-27,20:35:00,평창,용평,0.15,강원도 평창군 용평면,강원도 평창 용평
2014-03-27,17:29:00,2014-03-27,18:37:00,홍천,서,0.2,강원도 홍천군 서면,강원도 홍천 서
2014-03-27,15:48:00,2014-03-27,17:00:00,철원,갈말,0.03,강원도 철원군 갈말읍,강원도 철원 갈말
2014-03-24,19:14:00,2014-03-24,20:20:00,양양,강현,0.3,강원도 양양군 강현면,강원도 양양 강현
2014-03-24,16:27:00,2014-03-24,17:10:00,홍천,두촌,0.2,강원도 홍천군 두촌면,강원도 홍천 두촌
2014-03-11,16:50:00,2014-03-11,17:50:00,원주,귀래,0.06,강원도 원주시 귀래면,강원도 원주 귀래
2014-03-10,10:23:00,2014-03-10,12:45:00,화천,화천,0.12,강원도 화천군 화천읍,강원도 화천 화천
2014-03-07,15:10:00,2014-03-07,16:45:00,홍천,북방,0.2,강원도 홍천군 북방면,강원도 홍천 북방
2014-03-07,13:37:00,2014-03-07,15:00:00,춘천,서,0.05,강원도 춘천시 서면,강원도 춘천 서
2014-03-07,11:50:00,2014-03-07,17:30:00,영월,김삿갓,2.0,강원도 영월군 김삿갓면,강원도 영월 김삿갓
2014-03-05,15:07:00,2014-03-05,16:30:00,춘천,남,0.01,강원도 춘천시 남면,강원도 춘천 남
2014-03-03,14:12:00,2014-03-03,15:00:00,원주,관설,0.06,강원도 원주시 관설동,강원도 원주 관설
2014-03-03,11:43:00,2014-03-03,12:50:00,원주,흥업,0.1,강원도 원주시 흥업면,강원도 원주 흥업
2014-02-27,12:30:00,2014-02-27,13:45:00,횡성,우천,0.25,강원도 횡성군 우천면,강원도 횡성 우천
2014-02-04,19:35:00,2014-02-04,21:40:00,양양,양양,0.5,강원도 양양군 양양읍,강원도 양양 양양
2015-06-04,06:57:00,2015-06-04,10:26:00,홍천,두촌,2.0,강원도 홍천군 두촌면,강원도 홍천 두촌
2015-06-03,14:28:00,2015-06-03,19:00:00,춘천,남,1.0,강원도 춘천시 남면,강원도 춘천 남
2015-06-03,13:50:00,2015-06-03,18:20:00,인제,남,0.5,강원도 인제군 남면,강원도 인제 남
