fire_start_datetime,start_time,fire_end_datetime,end_time,corrected_address,damage_area,latitude,longitude
2014-01-19,19:50:00,2014-01-19,20:45:00,강원도 원주시 신림면,0.02,37.2306925112002,128.079484645368
2014-01-16,10:40:00,2014-01-16,14:00:00,강원도 정선군 북평면,0.2,37.4488891078994,128.670490518986
2014-01-15,16:23:00,2014-01-15,17:40:00,강원도 삼척시 도계읍,0.1,37.2364370242581,129.045174522503
2014-01-13,12:50:00,2014-01-13,14:40:00,강원도 화천군 상서면,0.15,38.1578310622547,127.654248763255
2014-05-14,18:24:00,2014-05-14,19:40:00,강원도 정선군 임계면,0.1,37.4948152077541,128.852109625413
2014-05-13,11:19:00,2014-05-13,13:30:00,강원도 고성군 간성읍,0.5,38.3783819019248,128.466855795807
2014-05-11,16:36:00,2014-05-11,18:00:00,강원도 인제군 남면,0.03,37.9659219985446,128.08336017963
2014-05-10,15:02:00,2014-05-10,17:48:00,강원도 영월군 북면,0.1,37.2544645252444,128.455193189019
2014-05-09,16:12:00,2014-05-09,18:25:00,강원도 삼척시 노곡면,0.3,37.3477672516229,129.164074412158
2014-05-06,18:20:00,2014-05-06,20:40:00,강원도 영월군 영월읍,0.5,37.1874352109429,128.466067893114
2014-05-05,19:10:00,2014-05-05,21:00:00,강원도 양구군 동면,0.05,38.2023166396046,128.04349997028
2014-05-04,18:42:00,2014-05-04,21:17:00,강원도 홍천군 영귀미면,0.1,37.6780725461921,127.935063630646
2014-04-27,15:25:00,2014-04-27,16:35:00,강원도 양양군 현남면,0.01,37.9692314024179,128.759480350041
2014-04-26,15:10:00,2014-04-26,17:50:00,강원도 양구군 국토정중앙면,0.1,38.1084781281203,128.034570007438
2014-04-26,13:20:00,2014-04-26,16:00:00,강원도 영월군 한반도면,0.1,37.2367970270269,128.328378893623
2014-04-26,10:40:00,2014-04-26,12:37:00,강원도 평창군 용평면,0.3,37.6066960645327,128.440214137176
2014-04-25,20:20:00,2014-04-25,21:40:00,강원도 화천군 화천읍,0.1,38.1042562811837,127.707178844679
2014-04-25,14:10:00,2014-04-25,15:10:00,강원도 양양군 현남면,0.04,37.9692314024179,128.759480350041
2014-04-25,10:24:00,2014-04-25,12:15:00,강원도 삼척시 등봉동,0.5,37.4534066460742,129.120049558931
2014-04-24,18:39:00,2014-04-24,22:25:00,강원도 영월군 무릉도원면,0.15,37.2883503881401,128.268649175287
2014-04-24,18:10:00,2014-04-24,19:30:00,강원도 춘천시 남산면,0.06,37.79186457822,127.646194579037
